src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packets_per_second,bytes_per_second,mean_packet_size,std_packet_size,mean_interarrival,dst_port_count,dst_host_count,src_dst_byte_ratio,dns_query_length,dns_entropy
247.245.155.78,10.0.0.5,64873,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
78.216.29.193,10.0.0.5,24276,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
81.175.11.164,10.0.0.5,15120,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
199.212.14.160,10.0.0.5,22843,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
232.230.114.75,10.0.0.5,24209,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
225.223.143.196,10.0.0.5,49109,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
219.209.244.231,10.0.0.5,37574,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
153.119.95.2,10.0.0.5,13726,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
85.178.107.119,10.0.0.5,24353,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
220.28.123.40,10.0.0.5,18199,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
79.116.139.157,10.0.0.5,11059,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
160.191.169.72,10.0.0.5,31270,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
148.196.232.47,10.0.0.5,50990,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
254.164.5.230,10.0.0.5,3788,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
73.191.84.122,10.0.0.5,25792,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
155.159.207.117,10.0.0.5,9884,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
184.59.33.155,10.0.0.5,29841,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
150.191.51.199,10.0.0.5,3269,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
143.226.124.2,10.0.0.5,16137,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
74.230.149.205,10.0.0.5,26010,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
209.132.130.224,10.0.0.5,59983,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
94.236.48.38,10.0.0.5,37904,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
159.137.147.68,10.0.0.5,24482,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
85.135.116.203,10.0.0.5,3355,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
160.183.112.29,10.0.0.5,25264,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
171.162.179.40,10.0.0.5,63536,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
136.78.200.189,10.0.0.5,58832,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
176.219.52.95,10.0.0.5,60186,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
215.9.211.83,10.0.0.5,31311,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
208.88.17.25,10.0.0.5,29215,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
125.233.110.79,10.0.0.5,49020,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
219.30.136.99,10.0.0.5,10062,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
64.81.255.142,10.0.0.5,16495,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
120.201.7.254,10.0.0.5,43753,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
69.168.54.226,10.0.0.5,27091,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
175.147.142.15,10.0.0.5,14158,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
236.112.2.45,10.0.0.5,5883,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
230.140.201.12,10.0.0.5,8694,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
187.164.73.19,10.0.0.5,9123,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
182.103.171.14,10.0.0.5,52765,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
97.65.233.214,10.0.0.5,48569,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
248.228.111.88,10.0.0.5,42675,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
157.104.0.25,10.0.0.5,15010,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
247.44.136.113,10.0.0.5,1905,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
25.139.221.87,10.0.0.5,54782,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
196.145.130.168,10.0.0.5,26378,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
19.44.80.8,10.0.0.5,36276,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
252.58.197.57,10.0.0.5,34247,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
215.57.239.164,10.0.0.5,20658,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
165.244.252.24,10.0.0.5,35120,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
8.138.199.33,10.0.0.5,9925,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
133.252.146.12,10.0.0.5,49926,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
31.5.161.22,10.0.0.5,45069,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
121.189.192.87,10.0.0.5,14547,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
183.233.111.95,10.0.0.5,50563,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
207.20.86.99,10.0.0.5,25289,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
105.111.16.100,10.0.0.5,21318,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
194.180.152.15,10.0.0.5,17101,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
52.53.75.28,10.0.0.5,9009,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
92.90.162.56,10.0.0.5,59569,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
107.25.38.194,10.0.0.5,50107,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
135.45.148.97,10.0.0.5,48890,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
192.130.23.50,10.0.0.5,4353,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
41.234.214.157,10.0.0.5,44224,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
30.199.255.168,10.0.0.5,18927,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
52.205.86.3,10.0.0.5,56097,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
72.16.232.83,10.0.0.5,46675,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
85.132.52.150,10.0.0.5,48959,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
181.182.67.137,10.0.0.5,11808,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
81.20.48.212,10.0.0.5,62149,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
181.179.31.213,10.0.0.5,56436,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
36.189.124.197,10.0.0.5,29117,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
44.46.177.111,10.0.0.5,46520,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
22.8.157.106,10.0.0.5,36297,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
2.132.197.220,10.0.0.5,7549,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
208.138.42.228,10.0.0.5,46276,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
67.166.246.227,10.0.0.5,61397,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
12.9.159.135,10.0.0.5,20468,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
98.67.62.64,10.0.0.5,17711,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
245.96.119.135,10.0.0.5,39407,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
66.59.234.60,10.0.0.5,9450,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
244.174.122.76,10.0.0.5,7768,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
39.242.255.112,10.0.0.5,18675,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
193.47.62.40,10.0.0.5,53446,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
100.226.135.177,10.0.0.5,2552,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
6.19.34.199,10.0.0.5,14393,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
13.98.164.155,10.0.0.5,1514,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
181.3.17.106,10.0.0.5,3750,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
213.115.210.196,10.0.0.5,18440,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
133.229.187.184,10.0.0.5,38886,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
141.119.210.131,10.0.0.5,52661,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
33.58.225.154,10.0.0.5,64461,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
231.103.180.77,10.0.0.5,54260,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
249.102.141.232,10.0.0.5,60300,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
94.117.72.159,10.0.0.5,27318,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
77.5.205.4,10.0.0.5,13062,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
54.209.14.249,10.0.0.5,21519,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
46.164.12.3,10.0.0.5,39425,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
132.41.139.3,10.0.0.5,20292,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
40.37.48.192,10.0.0.5,36690,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
184.194.36.52,10.0.0.5,6356,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
4.152.69.171,10.0.0.5,49647,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
30.107.234.102,10.0.0.5,58212,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
49.248.55.253,10.0.0.5,35531,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
41.141.212.16,10.0.0.5,22767,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
124.214.223.156,10.0.0.5,33061,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
213.33.38.17,10.0.0.5,46523,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
210.192.210.71,10.0.0.5,36683,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
178.117.63.75,10.0.0.5,40807,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
171.10.198.108,10.0.0.5,33563,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
180.21.111.207,10.0.0.5,54470,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
24.245.133.180,10.0.0.5,26357,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
83.53.6.68,10.0.0.5,54024,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
189.47.143.24,10.0.0.5,40737,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
26.194.26.248,10.0.0.5,11903,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
201.69.64.0,10.0.0.5,40213,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
10.244.166.211,10.0.0.5,30048,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
197.46.121.192,10.0.0.5,36416,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
97.189.83.21,10.0.0.5,59634,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
86.243.14.46,10.0.0.5,46146,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
132.233.115.38,10.0.0.5,51439,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
49.144.16.147,10.0.0.5,45870,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
134.4.13.147,10.0.0.5,4565,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
117.253.93.199,10.0.0.5,56033,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
219.40.112.100,10.0.0.5,55469,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
211.202.18.117,10.0.0.5,48894,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
215.9.120.130,10.0.0.5,11324,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
157.48.55.205,10.0.0.5,19428,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
76.100.87.99,10.0.0.5,52631,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
248.111.35.141,10.0.0.5,32346,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
81.163.100.63,10.0.0.5,61747,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
81.120.255.138,10.0.0.5,40259,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
94.152.255.148,10.0.0.5,62914,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
9.92.44.47,10.0.0.5,14977,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
20.110.251.23,10.0.0.5,38775,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
66.4.7.161,10.0.0.5,61047,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
235.38.25.144,10.0.0.5,4369,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
197.216.17.224,10.0.0.5,58866,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
131.156.176.139,10.0.0.5,42969,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
77.40.25.44,10.0.0.5,25861,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
124.87.182.23,10.0.0.5,34184,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
17.210.8.43,10.0.0.5,25122,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
254.43.76.247,10.0.0.5,14506,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
94.210.81.182,10.0.0.5,48657,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
46.163.193.124,10.0.0.5,39134,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
74.161.97.172,10.0.0.5,39654,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
45.156.86.228,10.0.0.5,38671,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
217.209.124.27,10.0.0.5,64070,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
149.168.147.201,10.0.0.5,48814,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
126.138.210.191,10.0.0.5,42460,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
248.58.48.211,10.0.0.5,34070,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
140.43.164.254,10.0.0.5,53273,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
54.136.203.108,10.0.0.5,28006,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
121.159.42.64,10.0.0.5,54654,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
214.65.200.138,10.0.0.5,46600,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
163.73.107.65,10.0.0.5,65214,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
179.232.237.0,10.0.0.5,46135,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
154.124.243.233,10.0.0.5,60765,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
13.238.94.39,10.0.0.5,57716,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
217.207.215.114,10.0.0.5,61404,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
150.254.5.158,10.0.0.5,56452,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
187.222.3.181,10.0.0.5,12836,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
79.34.153.66,10.0.0.5,50629,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
0.213.85.51,10.0.0.5,55915,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
187.125.221.150,10.0.0.5,41218,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
3.17.131.17,10.0.0.5,21059,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
189.20.160.81,10.0.0.5,24144,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
31.163.77.244,10.0.0.5,12726,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
211.144.170.160,10.0.0.5,44784,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
115.16.238.215,10.0.0.5,34731,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
63.219.235.206,10.0.0.5,26244,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0,0.0,1,1,40,0.0,0.0
